form	tag
Тогда	ADV
бы	PART
узрел	VERB
легендарную	ADJ
щуку	NOUN
векующую	VERB
в	ADP
озорной	ADJ
озерине	NOUN
Страх	NOUN
смотрится	VERB
в	ADP
воду	NOUN
Хохочет	VERB
Ищу	VERB
куда	CONJ
бы	PART
укрыться	VERB
мне	PRON
в	ADP
этой	ADJ
грустыне	NOUN
По	ADP
походке	NOUN
и	CONJ
выражению	NOUN
лица	NOUN
подошедшего	VERB
сразу	ADV
же	PART
делалось	VERB
понятным	ADJ
откуда	ADV
он	PRON
явился	VERB
он	PRON
был	VERB
окутан	VERB
невидимым	ADJ
раскалённым	VERB
облаком	NOUN
казалось	VERB
что	CONJ
при	ADP
быстрых	ADJ
движениях	NOUN
не	PART
плащ	NOUN
палатка	NOUN
шуршит	VERB
а	CONJ
потрескивает	VERB
электричество	NOUN
которым	ADJ
насыщен	ADJ
этот	ADJ
человек	NOUN
Меня	PRON
забулили	NOUN
только	ADV
за	ADP
то	CONJ
что	CONJ
я	PRON
не	PART
знаю	VERB
питон	NOUN
Мы	PRON
почиллим	VERB
и	CONJ
все	PART
будет	VERB
с	ADP
кайфом	NOUN
не	PART
беспокойся	VERB
Эти	ADJ
формы	NOUN
прижились	VERB
в	ADP
русском	ADJ
языке	NOUN
и	CONJ
не	PART
вызывают	VERB
отторжения	NOUN
у	ADP
его	PRON
носителей	NOUN
чего	PRON
не	PART
скажешь	VERB
о	ADP
феминитивах	NOUN
автор	NOUN
авторка	NOUN
фотограф	NOUN
фотографиня	NOUN
Наконец	ADV
нанотехнология	NOUN
не	PART
только	ADV
область	NOUN
прикладных	ADJ
исследований	NOUN
но	CONJ
и	CONJ
фундамент	NOUN
на	ADP
котором	ADJ
будет	VERB
зиждиться	VERB
наука	NOUN
будущего	NOUN
Сначала	ADV
они	PRON
проделывали	VERB
все	PART
что	CONJ
нужно	PRED
чтобы	CONJ
смеяться	VERB
до	ADP
упаду	NOUN
Джек	NOUN
бил	VERB
Пима	NOUN
по	ADP
морде	NOUN
и	CONJ
тот	ADJ
выпускал	VERB
сзади	ADV
облако	NOUN
пыли	NOUN
потом	ADV
Джек	NOUN
бил	VERB
Пима	NOUN
по	ADP
черепу	NOUN
и	CONJ
у	ADP
того	ADJ
выскакивал	VERB
гуттаперчивый	ADJ
волдырь	NOUN
Если	CONJ
кампания	NOUN
сторонников	NOUN
ЮКОСа	NOUN
в	ADP
прессе	NOUN
будет	VERB
такой	ADJ
же	PART
интенсивной	ADJ
как	CONJ
прежде	ADP
то	CONJ
дожуют	VERB
побыстрее	ADJ
К	ADP
тихим	ADJ
относятся	VERB
столовые	NOUN
сухие	ADJ
полусухие	ADJ
полусладкие	ADJ
креплёные	ADJ
и	CONJ
десертные	ADJ
Есть	VERB
рестораны	NOUN
кафе	NOUN
столовые	NOUN
и	CONJ
просто	PART
забегаловки	NOUN
с	ADP
прекрасными	ADJ
меню	NOUN
Уже	ADV
не	PART
помню	VERB
по	ADP
какому	ADJ
случаю	NOUN
скорее	CONJ
всего	ADJ
как	CONJ
всегда	ADV
шел	VERB
куда	CONJ
глаза	NOUN
глядят	VERB
и	CONJ
слушал	VERB
свои	ADJ
мысли	NOUN
а	CONJ
у	ADP
дороги	NOUN
находился	VERB
магазин	NOUN
который	ADJ
торговал	VERB
великами	NOUN
деньги	NOUN
были	VERB
и	CONJ
я	PRON
купил	VERB
велик	ADJ
А	CONJ
потом	ADV
просто	PART
давала	VERB
им	PRON
деньги	NOUN
Даже	PART
когда	CONJ
они	PRON
перестали	VERB
охотиться	VERB
На	ADP
мороженное	ADJ
вообще	ADV
на	ADP
всякую	ADJ
ерунду	NOUN
Мы	PRON
просто	PART
пофанились	NOUN
ничего	ADV
криминального	ADJ
Это	PART
была	VERB
изи	NOUN
катка	NOUN
Слова	NOUN
героев	NOUN
стали	VERB
афоризмами	NOUN
и	CONJ
даже	PART
эпизодические	ADJ
роли	NOUN
находка	NOUN
вспомните	VERB
как	CONJ
товарищ	NOUN
Бубликов	ADJ
долго	ADV
не	PART
мог	VERB
сосредоточиться	VERB
на	ADP
работе	NOUN
видя	VERB
прекрасные	ADJ
ножки	NOUN
девушек	NOUN
