,word,context,label,is_equivalent
10,игра,"Режиссер Джереми Подесва (Jeremy Podeswa), который снимет два эпизода шестого сезона «Игры престолов», заявил, что создатели проекта пересмотрят подход к изображению сцен сексуального насилия. Об этом он сообщил на презентации Fox Studios в Сиднее, передает ABC News. Постановщик отметил, что в сериале, вероятно, будут меньше показывать жестокость, либо смягчат ее. По словам режиссера, такое решение последовало после жалобы одного из поклонников «Игры престолов», поступившей руководству канала HBO в 2014 году — он заявил, что сцена изнасилования Сансы Старк бастардом Рамси Болтоном в их первую брачную ночь показана чересчур жестоко (в пятом сезоне — прим. «Ленты.ру»). «Это были трудные съемки, мы знали, что бросаем вызов аудитории», — прокомментировал Подесва, который и снял вызвавший претензии эпизод. Тем не менее, утверждает постановщик, сценаристы не намерены идти на поводу у зрителей. «Они не хотят зависеть от критики, но принимают ее и обдумывают. Сериал изображает жестокий мир, где случаются ужасные вещи. Иногда иначе нельзя», — рассказал он. Шестой сезон «Игры престолов» стартует на HBO в апреле 2016 года. «Игра престолов» — драматический телесериал в жанре фэнтези, основанный на цикле романов Джорджа Р. Р. Мартина. Действие происходит в вымышленном мире, напоминающем европейское Средневековье. Сериал повествует о политической борьбе кланов и изобилует сценами насилия и эротики. Премьера первого сезона в США состоялась на канале HBO в апреле 2010 года.",2.0,0
11,игра,"Стивен Фрай признался в том, что за 15 лет пристрастия к кокаину он собрал целую коллекцию общественных мест, где употреблял наркотик. Список, как сообщает The Guardian, приводится в новой автобиографии актера More Fool Me, представленной публике в четверг, 25 сентября. По словам Фрая, он принимал кокаин в Букингемском дворце, в Палате общин и в Палате лордов, в Виндзорском замке и телецентре ВВС, штаб-квартире Британского независимого телевидения (ITV), офисах газет The Daily Telegraph и The Times, политического журнала The Spectator и глянца Tatler, в королевских резиденциях «Кларенс-хаус» и «Сандрингем», а также в бесчисленном множестве лондонских клубов. Во всем этом, правда, Фрай раскаялся, хотя и в юмористической форме. Он также извинился перед «всеми собственниками и пользователями всех перечисленных выше мест, а также перед сотнями частных домов, офисов, перед автомобильными торпедо, столами, каминными полками и иными доступными полированными поверхностями, которые с легкостью могли бы быть добавлены в этот позорный список». В книге Фрай признается в том, что впервые попробовал кокаин в 1986 году и с тех пор так к нему пристрастился, что не мыслил жизни без него. И предупреждает: «Я бы не рекомендовал кокаин даже своему худшему врагу». Стивен Фрай — британский актер и драматург. Известность ему принесли роли в комедийных сериалах, самым знаменитым из которых стал «Дживс и Вустер». Из недавних фильмов с его участием можно назвать «V — значит вендетта», «Алиса в Стране чудес», «Шерлок Холмс: Игра теней», «Хоббит: Пустошь Смауга». В Британии Стивен Фрай считается носителем эталонного английского произношения и духа.",2.0,0
12,игра,"Американский писатель Джордж Мартин назвал персонажа саги «Песнь льда и пламени», которого он бы воскресил в сериале «Игра престолов». Его слова передает портал Cinemablend. Мартин заявил, что в шоу необходимо вернуть леди Винтерфелла Кейтилин Старк, которая, по его словам, играет чрезвычайно важную роль в его книгах. «В моих произведениях персонажи могут воскреснуть. После того как Кейтилин возвращается в виде Бессердечной леди, она превращается в мстительного и безжалостного убийцу. Она присутствует в шестой книге и играет важную роль во всей саге», — объяснил он. Писатель подчеркнул, что если бы он мог повлиять на сценарий сериала, то вернул бы в него именно Кейтилин Старк. Леди Винтерфелла, жена Неда Старка, которую сыграла Мишель Файрли, погибла в третьем сезоне «Игры престолов». С 1996 года Мартин выпустил пять романов саги «Песнь льда и пламени». В июле он анонсировал две новые книги. Произведения американского писателя легли в основу сериала «Игра престолов». В феврале Мартин объявил, что не собирается выпускать шестую часть «Песни льда и пламени» в 2018 году, как планировалось ранее. Книга получит название «Ветра зимы».",2.0,0
13,игра,"Актриса Эмилия Кларк сделала новую татуировку в честь своей роли в культовом сериале «Игра престолов». Фотографию с наколкой «мать драконов» опубликовала в своем Instagram-аккаунте в четверг, 20 сентября. На правом запястье 31-летней актрисы появилось небольшое изображение с тремя летящими драконами. На снимке смеющаяся Кларк поднимает руку, чтобы продемонстрировать его поклонникам. «Dr. Woo удостоверился, чтобы мать никогда не забывала о своих малышах», — поблагодарила она лос-анджелесского тату-мастера в описании к посту. Фэнтезийный сериал «Игра престолов» выходит на канале HBO с 2011 года. Седьмой сезон завершился 28 августа 2017 года, его последний эпизод установил рекорд среди сериалов по просмотрам. Восьмая часть, съемки которой завершились в июле, станет финальной. В сентябре «Игра престолов» завоевала награду американской премии «Эмми» в номинации «Лучший драматический сериал». Сериал уже в третий раз обошел конкурентов в борьбе за главную номинацию. Всего «Игру престолов» академики отметили статуэтками «Эмми» более 130 раз.",2.0,0
14,игра,"Королева Елизавета II в ходе визита в Северную Ирландию побывала в печально знаменитой тюрьме Крамлин-роуд в Белфасте, сообщает The Guardian. Экскурсию для монарха провел лично первый замминистра региона — Мартин Макгиннесс, который в бытность свою членом Ирландской республиканской армии (ИРА) в 1976 году отсидел в камере этой тюрьмы более месяца. Сейчас в Крамлин-роуд находятся музей и завод по производству виски. Елизавета уже провела переговоры с Макгиннессом, первым министром Питером Робинсоном (отсидел в свое время в тюрьме за участие в демонстрациях против примирения с республиканцами) и министром по делам Северной Ирландии Терезой Виллерс. В программу вошло также посещение площадки, на которой снимается сериал «Игра престолов», приносящий Северной Ирландии немалый доход: с 2009 года, когда начались съемки, экономика региона получила от телеканала HBO более 149 миллионов долларов. Елизавете II показали знаменитый Железный трон, на котором восседают в сериале короли Семи королевств, но сесть на него королева отказалась. Прошлый визит британского монарха в Белфаст состоялся два года назад и закончился беспорядками, которые устроили как оранжисты, так и республиканцы: первые протестовали против встречи королевы с Макгиннессом, а вторые в очередной раз подтвердили, что их цель — присоединение Северной Ирландии к Ирландской Республике. Это была первая встреча Елизаветы с членами ИРА, бойцы которой вели многолетнюю войну против британских войск и даже убили кузена королевы лорда Луиса Маунтбеттена, подорвав его яхту.",2.0,0
15,игра,"Для обеспечения безопасности ответного матча 1/8 финала Кубка УЕФА между московским ЦСКА и белградским ""Партизаном"", который пройдет 17 марта в Краснодаре, выделено более трех тысяч сотрудников милиции общественной безопасности и привлечены более трех тысяч волонтеров, сообщает ""Интерфакс"". По словам заместителя начальника ГУВД Краснодарского края - начальника милиции общественной безопасности генерал-майора Бориса Глебова, милиция приложит все усилия, чтобы предотвратить инциденты и нарушения общественного порядка накануне и во время игры. Замначальника ГУВД призвал болельщиков прийти на стадион ""Кубань"" заранее, чтобы сотрудники милиции без задержек смогли организовать тщательный личный досмотр. Генерал-майор Глебов отметил также, что впервые в практике стадиона ""Кубань"" болельщикам будет разрешено проносить знамена с древками. Раньше такие флаги изымались милиционерами как ""потенциально колющее или метательное оружие"". На матче ожидается аншлаг. ""Кубань"" вмещает 29,5 тысяч человек. По данным пресс-службы стадиона, из Белграда должна прибыть фан-группа ""Партизана"" в количестве 700 человек.",1.0,1
16,игра,"ЦБ увеличил лимит на предоставление рублевой ликвидности с помощью операций «валютный своп» с двух до десяти миллиардов долларов в день в эквиваленте. Об этом говорится в сообщении регулятора. В ЦБ считают, что увеличение рублевого лимита по валютным свопам будет способствовать сближению межбанковских ставок с ключевой. Центробанк в ночь на 16 декабря повысил ключевую ставку сразу на 6,5 процентного пункта — с 10,5 до 17,0 процента годовых. В ноябре Банк России для стабилизации ситуации на валютном рынке принял решение о введении лимита на предоставление рублевой ликвидности с помощью операций «валютный своп». Величина лимита составила два миллиарда долларов в день в эквиваленте. Регулятор пояснял, что решение о введении лимита было принято в рамках более консервативного подхода к предоставлению рублевой ликвидности кредитным организациям, анонсированного 10 ноября. В случае спекулятивного давления на валютном рынке лимит на объем валютных свопов, наряду с другими мерами Банка России, позволит стабилизировать ситуацию. При этом в спокойных условиях решение регулятора не отразится на денежном рынке, поскольку операции по фиксированным ставкам, как правило, проводятся в небольших объемах, ведь их цель — ограничение колебаний рыночных процентных ставок, отмечал ЦБ в ноябре. Операции «валютный своп» проводятся Банком России по фиксированным ставкам на срок один день. Они являются операциями постоянного действия, предназначенными для ограничения колебаний процентных ставок денежного рынка. Глава ЦБ Эльвира Набиуллина заявила 10 ноября, что ЦБ временно ограничит предоставление рублевой ликвидности, потому что она используется не только для финансирования экономики, но и для «игры» на валютном рынке. При этом ЦБ отказывается от основных принципов к определению объемов предоставления рублевой ликвидности.",1.0,1
17,игра,"Официальный представитель МИД России Мария Захарова предложила компании «Би-би-си» снять новый фильм-расследование, который расскажет о том, почему Великобритания покровительствует российским гражданам, обвиняемым на родине в преступлениях. Ее слова в четверг, 18 февраля, приводит «Интерфакс». Захарова заявила, что в феврале власти Великобритании «решили укрыть в Соединенном Королевстве лиц, которые находятся в розыске и обвиняются в совершении на территории России преступлений различной степени тяжести». Решение об отказе в выдаче этих граждан принимала лично министр внутренних дел страны Тереза Мэй, утверждает представитель российского внешнеполитического ведомства. Фамилий россиян, которых не выдали МИД, Захарова не назвала. «Я думаю, что это вполне может быть сюжетом для нового фильма-расследования «Би-би-си». Почему те люди, которые обвиняются в экономических преступлениях, в мошенничестве, в том числе в особо крупных размерах, почему они становятся подданными Великобритании и почему такие высокопоставленные официальные лица, как министр внутренних дел, лично им покровительствуют?», — обратилась Захарова к журналистам. 25 января канал BBC One показал получасовой фильм «Тайные богатства Путина» (Putin's Secret Riches), снятый Ричардом Билтоном. В числе его собеседников был замминистра финансов США Адам Шубин (Adam J. Szubin). Американский чиновник обвинил президента России Владимира Путина в причастности к коррупции. Министр иностранных дел Сергей Лавров назвал беспардонными обвинения в адрес российского руководства. В Кремле заявление Шубина сочли возмутительными и оскорбительными. Пресс-секретарь президента Дмитрий Песков назвал все вопросы, поставленные в ленте, «чистым вымыслом». Он выразил уверенность, что последние события указывают на то, что в США началась подготовка к российской избирательной кампании. «Очернительная кампания началась. Налицо также активное использование темы Путина во внутриполитической электоральной игре в самих США», — сказал Песков.",1.0,0
18,игра,"В Китае приведен в исполнение смертный приговор, вынесенный в отношении жителя провинции Цзяньсу, напавшего 29 апреля на детский сад и ранившего несколько десятков человек, в том числе, 28 детей. Об этом 30 мая сообщает ""Синьхуа"". 47-летний Сюй Юйюань, вооруженный 20-сантиметровым ножом, напал на сотрудников и воспитанников детского сада в китайской провинции Цзяньсу утром 29 апреля, ранив, в общей сложности, 31 человека. Большинству детей в группе, на которую он напал, было по четыре года. Впоследствии пятеро жертв нападения были госпитализированы в критическом состоянии. 15 мая преступник был приговорен к смертной казни. На заседании по его делу присутствовали около 300 человек. Отвечая на вопрос о причинах своего поступка, Юйюань объяснил, что был сильно разозлен тем, что потерял работу, проиграл деньги в азартные игры, а также переживал сложный период в личной жизни. Ранее, 28 апреля в Китае по аналогичному делу был казнен еще один преступник. Бывший врач, в возрасте 41 года, после ссоры с подругой проник на территорию школы, где кинжалом убил восьмерых школьников в возрасте от 6 до 12 лет и серьезно ранил еще пятерых.",1.0,1
19,игра,"Главный тренер питерского футбольного клуба ""Зенит"" Лучано Спаллетти заявил, что он планирует оставить форварда Данко Лазовича пенальтистом команды, несмотря на промах с одиннадцатиметровой отметки в матче чемпионата России с пермским ""Амкаром"" (1:1). Спаллетти подчеркнул, что Лазович много забивал с пенальти и со штрафных в прошлых матчах, сообщает официальный сайт ""Зенита"". Тренер отметил, что в следующий раз Лазович будет бить пенальти, если он будет уверен, что может поразить ворота. Спаллетти выразил мнение, что при выполнении одиннадцатиметрового удара важнее не тренированность, а психологическая готовность. В матче с ""Амкаром"" счет на 23-й минуте открыли пермяки, а Лазович не реализовал пенальти в конце первого тайма. В составе ""Зенита"" на 52-й минуте отличился Александр Кержаков. После игры Лазович сказал, что он намерен на следующей тренировке ровно час отрабатывать удары с пенальти, а в случае, если он продолжит играть так же, как в матче с ""Амкаром"", команде стоит поменять пенальтиста. В чемпионате России сезона-2011/12 Лазович провел 18 матчей и забил девять мячей. Дважды форвард поразил ворота соперников с пенальти.",1.0,1
